id,name,stargazerCount,createdAt,updatedAt,primaryLanguage
MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==,FiraCode,76514,2014-11-11T19:32:38Z,2024-08-25T03:39:36Z,{'name': 'Clojure'}
MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,advanced-java,75524,2018-10-06T11:38:30Z,2024-08-25T01:27:48Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=,LeetCodeAnimation,75256,2018-12-06T08:01:22Z,2024-08-25T02:22:17Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,fastapi,74923,2018-12-08T08:21:47Z,2024-08-25T02:44:31Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,hugo,74413,2013-07-04T15:26:26Z,2024-08-25T02:11:32Z,{'name': 'Go'}
R_kgDOJH-jmg,ChatGPT-Next-Web,74259,2023-03-10T18:27:54Z,2024-08-25T03:22:54Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnk2MzUzOTA1NQ==,awesome-mac,74221,2016-07-17T15:33:47Z,2024-08-25T02:50:10Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-boot,74212,2012-10-19T15:02:57Z,2024-08-25T02:05:39Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnkzNDcwNDcx,Font-Awesome,73463,2012-02-17T14:19:43Z,2024-08-24T17:53:39Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkzNTc3Mjg5Njk=,bun,72777,2021-04-14T00:48:17Z,2024-08-25T02:37:26Z,{'name': 'Zig'}
MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,json-server,72394,2013-11-27T13:21:13Z,2024-08-25T02:35:41Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,awesome-vue,71773,2015-10-20T00:16:14Z,2024-08-24T10:50:26Z,
MDEwOlJlcG9zaXRvcnkyOTkzNTQyMDc=,rustdesk,71089,2020-09-28T15:36:08Z,2024-08-25T02:40:11Z,{'name': 'Rust'}
MDEwOlJlcG9zaXRvcnkyMTQ1ODcxOTM=,supabase,70795,2019-10-12T05:56:49Z,2024-08-25T03:15:33Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxMjg4ODk5Mw==,core,70573,2013-09-17T07:29:48Z,2024-08-25T03:26:57Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,netdata,70206,2013-06-17T18:39:10Z,2024-08-25T01:17:34Z,{'name': 'C'}
MDEwOlJlcG9zaXRvcnkyNjA2NjcyNw==,mermaid,70183,2014-11-01T23:52:32Z,2024-08-25T02:43:00Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk0NzAxODIzOQ==,awesome-interview-questions,69962,2015-11-28T09:48:17Z,2024-08-25T01:23:35Z,
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elasticsearch,69029,2010-02-08T13:20:56Z,2024-08-24T20:47:20Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnkzNDM5NjUxMzI=,ML-For-Beginners,68830,2021-03-03T01:34:05Z,2024-08-25T02:40:51Z,{'name': 'HTML'}
R_kgDOJPPS-Q,gpt4all,68718,2023-03-27T18:49:32Z,2024-08-25T03:31:10Z,{'name': 'C++'}
MDEwOlJlcG9zaXRvcnk3NjkxNjMx,moby,68361,2013-01-18T18:10:57Z,2024-08-25T02:34:41Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,Front-End-Checklist,68305,2017-10-16T10:12:36Z,2024-08-25T03:11:00Z,
R_kgDOI4f-vw,node,68036,2023-02-01T13:55:02Z,2024-08-24T23:01:23Z,{'name': 'Shell'}
MDEwOlJlcG9zaXRvcnkyNzgzMzUyNzM=,github-readme-stats,67670,2020-07-09T10:34:22Z,2024-08-25T03:24:51Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkxODYxNDU4,reveal.js,67468,2011-06-07T18:54:22Z,2024-08-24T21:07:48Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk1OTY4OTI=,flask,67354,2010-04-06T11:11:59Z,2024-08-25T03:12:21Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxNzI5NTM4NDU=,code-server,67243,2019-02-27T16:50:41Z,2024-08-25T00:32:13Z,{'name': 'TypeScript'}
R_kgDOHzIiIA,stable-diffusion,67224,2022-08-10T14:36:44Z,2024-08-25T03:15:50Z,{'name': 'Jupyter Notebook'}
MDEwOlJlcG9zaXRvcnkxNDU1NTM2NzI=,funNLP,67201,2018-08-21T11:20:39Z,2024-08-25T03:20:52Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,swift,67192,2015-10-23T21:15:07Z,2024-08-25T02:26:06Z,{'name': 'C++'}
MDEwOlJlcG9zaXRvcnk0NDg4MjIwMQ==,awesome-for-beginners,67091,2015-10-24T19:53:36Z,2024-08-25T02:47:41Z,
R_kgDOIuCgEw,ui,67005,2023-01-04T12:43:27Z,2024-08-25T03:18:12Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkyNTc0ODU0MjI=,vite,66829,2020-04-21T05:03:57Z,2024-08-25T03:27:17Z,{'name': 'TypeScript'}
R_kgDOIAstBQ,whisper,66480,2022-09-16T20:02:54Z,2024-08-25T03:22:42Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnk4MDk0NTQyOA==,nest,66441,2017-02-04T20:12:52Z,2024-08-25T01:32:27Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnk3MTU4MzYwMg==,cs-video-courses,66318,2016-10-21T17:02:11Z,2024-08-25T03:15:09Z,
MDEwOlJlcG9zaXRvcnkxOTk1NzAwNzE=,v2rayN,66131,2019-07-30T03:47:24Z,2024-08-25T02:55:23Z,{'name': 'C#'}
MDEwOlJlcG9zaXRvcnkyNDM5NTA0MDg=,HowToCook,66099,2020-02-29T10:43:49Z,2024-08-24T20:20:02Z,{'name': 'Dockerfile'}
MDEwOlJlcG9zaXRvcnkxNTYwMTg=,redis,66061,2009-03-21T22:32:25Z,2024-08-25T00:48:30Z,{'name': 'C'}
MDEwOlJlcG9zaXRvcnkyMTI2MzkwNzE=,devops-exercises,65579,2019-10-03T17:31:21Z,2024-08-25T02:09:19Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkyMzM1NzU4OA==,protobuf,65001,2014-08-26T15:52:15Z,2024-08-25T00:26:56Z,{'name': 'C++'}
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,playwright,64952,2019-11-15T18:32:42Z,2024-08-25T02:52:48Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkyMTg3MjM5Mg==,awesome-machine-learning,64871,2014-07-15T19:11:19Z,2024-08-25T03:29:20Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkyMzcxNTk=,express,64651,2009-06-26T18:56:01Z,2024-08-25T00:23:54Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack,64430,2012-03-10T10:08:14Z,2024-08-24T18:34:06Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk4ODQzNjgz,Chart.js,64239,2013-03-17T23:56:36Z,2024-08-25T01:01:32Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkyMjY3MDg1Nw==,awesome-react,64069,2014-08-06T05:31:44Z,2024-08-25T02:59:55Z,
R_kgDOJH_K4A,llama.cpp,63998,2023-03-10T18:58:00Z,2024-08-25T03:39:04Z,{'name': 'C++'}
MDEwOlJlcG9zaXRvcnkxNTExMTgyMQ==,grafana,63446,2013-12-11T15:59:56Z,2024-08-25T02:09:19Z,{'name': 'TypeScript'}
R_kgDOJL0ZtQ,gpt_academic,63418,2023-03-20T09:05:13Z,2024-08-25T03:07:03Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkyMDM1ODc3NDQ=,hoppscotch,63416,2019-08-21T13:15:24Z,2024-08-25T03:05:00Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxMzgwNzYwNg==,fzf,63337,2013-10-23T16:04:23Z,2024-08-25T03:21:32Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnkxNDcxMjg1MA==,syncthing,63271,2013-11-26T09:48:21Z,2024-08-25T01:35:20Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==,interviews,63169,2017-02-14T18:19:25Z,2024-08-25T02:54:25Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnkxNDczNTA0NjM=,33-js-concepts,62936,2018-09-04T13:27:04Z,2024-08-25T02:50:24Z,{'name': 'JavaScript'}
